[0.009s] Invoking command in '/home/kol/Documents/ros_workstation/steward/build/platform': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/kol/Documents/ros_workstation/steward/src/platform -DCMAKE_INSTALL_PREFIX=/home/kol/Documents/ros_workstation/steward/install/platform
[0.061s] -- The C compiler identification is GNU 11.4.0
[0.115s] -- The CXX compiler identification is GNU 11.4.0
[0.122s] -- Detecting C compiler ABI info
[0.186s] -- Detecting C compiler ABI info - done
[0.193s] -- Check for working C compiler: /usr/bin/cc - skipped
[0.193s] -- Detecting C compile features
[0.194s] -- Detecting C compile features - done
[0.197s] -- Detecting CXX compiler ABI info
[0.271s] -- Detecting CXX compiler ABI info - done
[0.279s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[0.279s] -- Detecting CXX compile features
[0.280s] -- Detecting CXX compile features - done
[0.282s] -- Found ament_cmake: 1.3.11 (/opt/ros/humble/share/ament_cmake/cmake)
[0.423s] -- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter 
[0.507s] -- Found ament_lint_auto: 0.12.12 (/opt/ros/humble/share/ament_lint_auto/cmake)
[0.583s] -- Added test 'lint_cmake' to check CMake code style
[0.586s] -- Added test 'xmllint' to check XML markup files
[0.587s] -- Configuring done
[0.590s] -- Generating done
[0.591s] -- Build files have been written to: /home/kol/Documents/ros_workstation/steward/build/platform
[0.595s] Invoked command in '/home/kol/Documents/ros_workstation/steward/build/platform' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/kol/Documents/ros_workstation/steward/src/platform -DCMAKE_INSTALL_PREFIX=/home/kol/Documents/ros_workstation/steward/install/platform
[0.597s] Invoking command in '/home/kol/Documents/ros_workstation/steward/build/platform': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/kol/Documents/ros_workstation/steward/build/platform -- -j4 -l4
[0.632s] Invoked command in '/home/kol/Documents/ros_workstation/steward/build/platform' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/kol/Documents/ros_workstation/steward/build/platform -- -j4 -l4
[0.642s] Invoking command in '/home/kol/Documents/ros_workstation/steward/build/platform': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/kol/Documents/ros_workstation/steward/build/platform
[0.649s] -- Install configuration: ""
[0.649s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/config
[0.650s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/launch
[0.650s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes
[0.650s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/rod31.stl
[0.650s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/rod21.stl
[0.650s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/rod11.stl
[0.650s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/J1T1.stl
[0.650s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/J3T_1.stl
[0.651s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/cylinder61.stl
[0.651s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/X4bottom1.stl
[0.651s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/rod61.stl
[0.651s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/UJ51.stl
[0.652s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/base_link.stl
[0.653s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/J4B1.stl
[0.653s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/J5B1.stl
[0.653s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/X1bottom1.stl
[0.653s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/X4top1.stl
[0.653s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/cylinder11.stl
[0.654s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/X3bottom1.stl
[0.654s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/X3top1.stl
[0.654s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/UJ21.stl
[0.655s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/J6T1.stl
[0.655s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/J5T_1.stl
[0.655s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/rod41.stl
[0.655s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/indicator1.stl
[0.655s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/piston51.stl
[0.656s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/J4T1.stl
[0.656s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/piston41.stl
[0.656s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/J1B_1.stl
[0.656s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/TOP1.stl
[0.657s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/J2B1.stl
[0.657s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/UJ61.stl
[0.657s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/UJ31.stl
[0.658s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/J6B1.stl
[0.658s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/X6bottom1.stl
[0.658s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/J3B1.stl
[0.658s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/X6top1.stl
[0.658s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/UJ11.stl
[0.658s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/piston61.stl
[0.659s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/cylinder31.stl
[0.659s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/cylinder21.stl
[0.660s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/J2T1.stl
[0.660s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/X1top1.stl
[0.660s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/X2bottom1.stl
[0.660s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/rod51.stl
[0.660s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/piston21.stl
[0.661s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/UJ41.stl
[0.661s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/cylinder51.stl
[0.662s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/piston31.stl
[0.662s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/X5top1.stl
[0.662s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/X2top1.stl
[0.662s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/cylinder41.stl
[0.663s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/piston11.stl
[0.663s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/meshes/X5bottom1.stl
[0.663s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/urdf
[0.663s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/urdf/stewart.urdf.xacro
[0.663s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/ament_index/resource_index/package_run_dependencies/platform
[0.664s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/ament_index/resource_index/parent_prefix_path/platform
[0.664s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/environment/ament_prefix_path.sh
[0.664s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/environment/ament_prefix_path.dsv
[0.664s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/environment/path.sh
[0.664s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/environment/path.dsv
[0.664s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/local_setup.bash
[0.664s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/local_setup.sh
[0.665s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/local_setup.zsh
[0.665s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/local_setup.dsv
[0.665s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/package.dsv
[0.665s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/ament_index/resource_index/packages/platform
[0.665s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/cmake/platformConfig.cmake
[0.665s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/cmake/platformConfig-version.cmake
[0.666s] -- Installing: /home/kol/Documents/ros_workstation/steward/install/platform/share/platform/package.xml
[0.668s] Invoked command in '/home/kol/Documents/ros_workstation/steward/build/platform' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/kol/Documents/ros_workstation/steward/build/platform
